Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Ailene Voisin,Sacramento Bee,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Durant, Kevin (G.S.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Green, Danny (S.A.)","Beverley, Patrick (Hou.)",2016
Andrew Sharp,Sports Illustrated,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Adams, Steven (OKC.)","Green, Danny (S.A.)","Smart, Marcus (Bos.)",2016
Anthony Slater,Bay Area News Group,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Durant, Kevin (G.S.)","Davis, Anthony (N.O.)","Thompson, Klay (G.S.)","Green, Danny (S.A.)",2016
Antoni Daimiel,Moviestar+,"Covington, Robert (Phi.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Smart, Marcus (Bos.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)","Whiteside, Hassan (Mia.)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)",2016
Ben Golliver,Sports Illustrated,"Green, Draymond (G.S.)","Roberson, Andre (OKC.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Green, Danny (S.A.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Rubio, Ricky (Min.)","Smart, Marcus (Bos.)",2016
Bill Oram,Orange County Register,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","Covington, Robert (Phi.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Beverley, Patrick (Hou.)",2016
Bill Simmons,The Ringer,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Antetokounmpo, Giannis (Mil.)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Covington, Robert (Phi.)","Davis, Anthony (N.O.)","Bradley, Avery (Bos.)","Rivers, Austin (LA-C)",2016
Brent Barry,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Holiday, Jrue (N.O.)",2016
Brian Lewis,New York Post,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2016
Brian Mahoney,Associated Press,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Bradley, Avery (Bos.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Paul, Chris (LA-C)","Allen, Tony (Mem.)",2016
Brian Windhorst,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2016
Calvin Watkins,ESPN.com,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Wall, John (Was.)","George, Paul (Ind.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Paul, Chris (LA-C)","Allen, Tony (Mem.)",2016
Charles Gardner,Milwaukee Journal-Sentinel,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Smart, Marcus (Bos.)","Bradley, Avery (Bos.)",2016
