Voter,Affiliation,1st,2nd,3rd,Year
Ailene Voisin,Sacramento Bee,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2017
Amin Elhassan,ESPN.com,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2017
Andrew Sharp,Sports Illustrated,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Anthony Slater,The Athletic,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Green, Draymond (GSW)",2017
Ben Golliver,Sports Illustrated,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Bill Oram,Orange County Register,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2017
Bill Simmons,The Ringer,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Brent Barry,Turner,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Green, Draymond (GSW)",2017
Brett Dawson,The Oklahoman,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Brian Mahoney,Associated Press,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2017
Brian Windhorst,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2017
Cassidy Hubbarth,ESPN,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Chase Hughes,NBCSportsWashington.com,"Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Embiid, Joel (PHI)",2017
Chris Broussard,Fox Sports,"Davis, Anthony (NOP)","Green, Draymond (GSW)","Gobert, Rudy (UTA)",2017
Chris Haynes,ESPN.com,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Brown, Jaylen (BOS)",2017
Chris Mannix,Yahoo!,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2017
Chris Webber,Turner,"Gobert, Rudy (UTA)","George, Paul (OKC)","Davis, Anthony (NOP)",2017
Clifton Brown,Indianapolis Star,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Connor Letourneau,San Francisco Chronicle,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2017
Dave McMenamin,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
David Aldridge,Turner,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Covington, Robert (PHI)",2017
Davide Chinellato,La Gazzetta dello Sport,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Butler, Jimmy (MIN)",2017
Dennis Scott,Turner,"George, Paul (OKC)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)",2017
Diego Cabrera,Periódico Reforma,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2017
Doris Burke,ABC/ESPN,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Eddie Sefko,Dallas Morning News,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Covington, Robert (PHI)",2017
Elliott Teaford,Southern California News Group,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2017
Ernie Johnson,Turner,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Green, Draymond (GSW)",2017
Flavio Tranquillo,Sky Italia,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Thompson, Klay (GSW)",2017
Frank Isola,Sirius Radio/New York Daily News,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Horford, Al (BOS)",2017
Gary Washburn,Boston Globe,"Gobert, Rudy (UTA)","Adams, Steven (OKC)","Drummond, Andre (DET)",2017
Gina Mizell,Denver Post,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Greg Anthony,Turner,"Davis, Anthony (NOP)","Embiid, Joel (PHI)","Capela, Clint (HOU)",2017
Greg Logan,Newsday,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2017
Howard Beck,Bleacher Report,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Jackie MacMullan,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Jalen Rose,ABC/ESPN,"Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Embiid, Joel (PHI)",2017
Jared Greenberg,Turner,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Horford, Al (BOS)",2017
Jason Jones,Sacramento Bee,"Gobert, Rudy (UTA)","George, Paul (OKC)","Green, Draymond (GSW)",2017
Jason Lloyd,The Athletic,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Jason Quick,NBC Sports Northwest,"Gobert, Rudy (UTA)","George, Paul (OKC)","Davis, Anthony (NOP)",2017
Jeff McDonald,San Antonio Express‐News,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2017
Jeff Zillgitt,USA Today,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2017
Jerry Zgoda,Minneapolis Star Tribune,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Joe Cowley,Chicago Sun‐Times,"Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Covington, Robert (PHI)",2017
John Schuhmann,NBA.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Jon Barry,ESPN Radio,"Gobert, Rudy (UTA)","George, Paul (OKC)","Embiid, Joel (PHI)",2017
Justin Termine,Sirius Radio,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
