Voter,Affiliation,1st,2nd,3rd,Year
Marv Albert,Turner,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Spoelstra, Erik (Miami Heat)",2019
Sam Amick,The Athletic,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2019
Jason Anderson,Sacramento Bee,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2019
Greg Anthony,Turner,"Nurse, Nick (Toronto Raptors)","Vogel, Frank (Los Angeles Lakers)","Carlisle, Rick (Dallas Mavericks)",2019
Kevin Arnovitz,ESPN,"Nurse, Nick (Toronto Raptors)","Jenkins, Taylor (Memphis Grizzlies)","Donovan, Billy (Oklahoma City Thunder)",2019
Steve Aschburner,NBA.com,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Vogel, Frank (Los Angeles Lakers)",2019
Antoine Bancharel,Canal+ Afrique,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Budenholzer, Mike (Milwaukee Bucks)",2019
Renjun Bao,Tencent,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Vogel, Frank (Los Angeles Lakers)",2019
Evan Barnes,Memphis Commercial Appeal,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Jenkins, Taylor (Memphis Grizzlies)",2019
Jon Barry,ESPN,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Budenholzer, Mike (Milwaukee Bucks)",2019
Rod Beard,Detroit News,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2019
Howard Beck,Bleacher Report,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Carlisle, Rick (Dallas Mavericks)",2019
Marc Berman,New York Post,"Budenholzer, Mike (Milwaukee Bucks)","Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)",2019
Tim Bontemps,ESPN,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","McMillan, Nate (Indiana Pacers)",2019
Mike Breen,ESPN,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2019
Chris Broussard,Fox Sports,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Jenkins, Taylor (Memphis Grizzlies)",2019
Ric Bucher,Bleacher Report,"Budenholzer, Mike (Milwaukee Bucks)","Spoelstra, Erik (Miami Heat)","Nurse, Nick (Toronto Raptors)",2019
Doris Burke,ESPN,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Budenholzer, Mike (Milwaukee Bucks)",2019
Shams Charania,The Athletic/Stadium,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","McMillan, Nate (Indiana Pacers)",2019
Anthony Chiang,Miami Herald,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Spoelstra, Erik (Miami Heat)",2019
Davide Chinellato,La Gazzetta dello Sport,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Vogel, Frank (Los Angeles Lakers)",2019
Joe Cowley,Chicago Sun-Times,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Vogel, Frank (Los Angeles Lakers)",2019
Antoni Daimiel,Movistar+,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Jenkins, Taylor (Memphis Grizzlies)",2019
