Voter,Affiliation,1st,2nd,3rd,Year
Marv Albert,Turner,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)",2019
Sam Amick,The Athletic,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)",2019
Jason Anderson,Sacramento Bee,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2019
Greg Anthony,Turner,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2019
Kevin Arnovitz,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)",2019
Steve Aschburner,NBA.com,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2019
Antoine Bancharel,Canal+ Afrique,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2019
Renjun Bao,Tencent,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2019
Evan Barnes,Memphis Commercial Appeal,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2019
Jon Barry,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2019
Rod Beard,Detroit News,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2019
Howard Beck,Bleacher Report,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2019
Marc Berman,New York Post,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2019
Tim Bontemps,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2019
Mike Breen,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2019
Chris Broussard,Fox Sports,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2019
Ric Bucher,Bleacher Report,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","White, Coby (CHI)",2019
Doris Burke,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2019
Shams Charania,The Athletic/Stadium,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)",2019
Anthony Chiang,Miami Herald,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)",2019
Davide Chinellato,La Gazzetta dello Sport,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)",2019
Joe Cowley,Chicago Sun-Times,"Williamson, Zion (NOP)","Morant, Ja (MEM)","Nunn, Kendrick (MIA)",2019
Antoni Daimiel,Movistar+,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2019
