Voter,Affiliation,1st,2nd,3rd,Year
Marv Albert,Turner,"Clarkson, Jordan (UTA)","Boucher, Chris (TOR)","Brunson, Jalen (DAL)",2020
Sam Amick,The Athletic,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2020
Greg Anthony,Turner,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Portis, Bobby (MIL)",2020
Kevin Arnovitz,ESPN,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Harrell, Montrezl (LAL)",2020
Steve Aschburner,NBA.com,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Rose, Derrick (NYK)",2020
Evan Barnes,Memphis Commercial Appeal,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)",2020
Jon Barry,ESPN,"Clarkson, Jordan (UTA)","Harrell, Montrezl (LAL)","Boucher, Chris (TOR)",2020
Howard Beck,Sports Illustrated,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)",2020
Stefan Bondy,New York Daily News,"Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)","Boucher, Chris (TOR)",2020
Tim Bontemps,ESPN,"Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)","Rose, Derrick (NYK)",2020
Chris Broussard,Fox Sports,"Clarkson, Jordan (UTA)","Hardaway Jr., Tim (DAL)","Ingles, Joe (UTA)",2020
Ric Bucher,Sirius Radio,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Brunson, Jalen (DAL)",2020
Doris Burke,ESPN,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2020
Shams Charania,The Athletic/Stadium,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Brunson, Jalen (DAL)",2020
Anthony Chiang,Miami Herald,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Rose, Derrick (NYK)",2020
Davide Chinellato,La Gazzetta Dello Sport,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Anthony, Carmelo (POR)",2020
Mauricio Codocea,Clarin (Argentina),"Clarkson, Jordan (UTA)","Harrell, Montrezl (LAL)","Rose, Derrick (NYK)",2020
Jamal Collier,Chicago Tribune,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2020
Antoni Daimiel,Movistar+,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2020
Dan Devine,The Ringer,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2020
Chris Fedor,Cleveland.com,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)",2020
Joe Freeman,The Oregonian,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Rose, Derrick (NYK)",2020
Vince Goodwill,Yahoo! Sports,"Clarkson, Jordan (UTA)","Hardaway Jr., Tim (DAL)","Rose, Derrick (NYK)",2020
Kyle Goon,Southern California News Group,"Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)","Rose, Derrick (NYK)",2020
Michael Grange,Rogers Sportsnet,"Ingles, Joe (UTA)","Brunson, Jalen (DAL)","Kanter, Enes (POR)",2020
Jared Greenberg,Turner,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Anthony, Carmelo (POR)",2020
Kevin Harlan,Turner,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2020
Zach Harper,The Athletic,"Ingles, Joe (UTA)","Brunson, Jalen (DAL)","Clarkson, Jordan (UTA)",2020
Max Haupt,DPA,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Brunson, Jalen (DAL)",2020
Chris Haynes,Yahoo! Sports,"Clarkson, Jordan (UTA)","Kanter, Enes (POR)","Boucher, Chris (TOR)",2020
Kurt Helin,NBCSports.com,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Brunson, Jalen (DAL)",2020
Adam Himmelsbach,Boston Globe,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2020
Lisa Hsu,Tencent,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2020
Cassidy Hubbarth,ESPN,"Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)","Rose, Derrick (NYK)",2020
Kelly Iko,The Athletic,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)",2020
Frank Isola,Sirius Radio,"Clarkson, Jordan (UTA)","Milton, Shake (PHI)","Brunson, Jalen (DAL)",2020
