Voter,Affiliation,1st,2nd,3rd,Year
Marv Albert,Turner,"Randle, Julius (NYK)","LaVine, Zach (CHI)","Grant, Jerami (DET)",2020
Sam Amick,The Athletic,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Wood, Christian (HOU)",2020
Greg Anthony,Turner,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Kevin Arnovitz,ESPN,"Randle, Julius (NYK)","Boucher, Chris (TOR)","Grant, Jerami (DET)",2020
Steve Aschburner,NBA.com,"Randle, Julius (NYK)","Wood, Christian (HOU)","Brown, Jaylen (BOS)",2020
Evan Barnes,Memphis Commercial Appeal,"Grant, Jerami (DET)","Randle, Julius (NYK)","Anderson, Kyle (MEM)",2020
Jon Barry,ESPN,"Randle, Julius (NYK)","Capela, Clint (ATL)","Wood, Christian (HOU)",2020
Howard Beck,Sports Illustrated,"Randle, Julius (NYK)","Grant, Jerami (DET)","Wood, Christian (HOU)",2020
Stefan Bondy,New York Daily News,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Tim Bontemps,ESPN,"Randle, Julius (NYK)","LaVine, Zach (CHI)","Gilgeous-Alexander, Shai (OKC)",2020
Chris Broussard,Fox Sports,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Barrett, RJ (NYK)",2020
Ric Bucher,Sirius Radio,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Doris Burke,ESPN,"Randle, Julius (NYK)","Wood, Christian (HOU)","Grant, Jerami (DET)",2020
Shams Charania,The Athletic/Stadium,"Randle, Julius (NYK)","Grant, Jerami (DET)","Bridges, Miles (CHA)",2020
Anthony Chiang,Miami Herald,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Davide Chinellato,La Gazzetta Dello Sport,"Randle, Julius (NYK)","Brown, Jaylen (BOS)","Porter Jr., Michael (DEN)",2020
Mauricio Codocea,Clarin (Argentina),"Randle, Julius (NYK)","Wood, Christian (HOU)","Grant, Jerami (DET)",2020
Jamal Collier,Chicago Tribune,"Randle, Julius (NYK)","Grant, Jerami (DET)","LaVine, Zach (CHI)",2020
Antoni Daimiel,Movistar+,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Bridges, Mikal (PHX)",2020
Dan Devine,The Ringer,"Randle, Julius (NYK)","Grant, Jerami (DET)","Anderson, Kyle (MEM)",2020
Chris Fedor,Cleveland.com,"Randle, Julius (NYK)","Grant, Jerami (DET)","Garland, Darius (CLE)",2020
Joe Freeman,The Oregonian,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Vince Goodwill,Yahoo! Sports,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Kyle Goon,Southern California News Group,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Michael Grange,Rogers Sportsnet,"Randle, Julius (NYK)","Grant, Jerami (DET)","Wood, Christian (HOU)",2020
Jared Greenberg,Turner,"Randle, Julius (NYK)","Grant, Jerami (DET)","Brown, Jaylen (BOS)",2020
Kevin Harlan,Turner,"Randle, Julius (NYK)","Wood, Christian (HOU)","Grant, Jerami (DET)",2020
Zach Harper,The Athletic,"Randle, Julius (NYK)","Wood, Christian (HOU)","Grant, Jerami (DET)",2020
Max Haupt,DPA,"Randle, Julius (NYK)","Vucevic, Nikola (CHI)","Grant, Jerami (DET)",2020
Chris Haynes,Yahoo! Sports,"Grant, Jerami (DET)","Porter Jr., Michael (DEN)","Boucher, Chris (TOR)",2020
Kurt Helin,NBCSports.com,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Adam Himmelsbach,Boston Globe,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Brown, Jaylen (BOS)",2020
Lisa Hsu,Tencent,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Cassidy Hubbarth,ESPN,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Kelly Iko,The Athletic,"Randle, Julius (NYK)","Wood, Christian (HOU)","Grant, Jerami (DET)",2020
Frank Isola,Sirius Radio,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Bogdanovic, Bojan (UTA)",2020
Mark Jackson,ESPN,"Randle, Julius (NYK)","Grant, Jerami (DET)","Bridges, Mikal (PHX)",2020
Ernie Johnson,Turner,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Jason Jones,The Athletic,"Randle, Julius (NYK)","Grant, Jerami (DET)","Brown, Jaylen (BOS)",2020
Tony Jones,The Athletic,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Fred Katz,The Athletic,"Randle, Julius (NYK)","Grant, Jerami (DET)","Rozier, Terry (CHA)",2020
Marc Kestecher,ESPN,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Chris Kirschner,The Athletic,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Scott Kushner,New Orleans Times Picayune,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Brian Lewis,New York Post,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Zach Lowe,ESPN,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Jackie MacMullan,ESPN,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Wood, Christian (HOU)",2020
Brian Mahoney,Associated Press,"Randle, Julius (NYK)","Dort, Luguentz (OKC)","Barrett, RJ (NYK)",2020
Rob Mahoney,The Ringer,"Randle, Julius (NYK)","Grant, Jerami (DET)","LaVine, Zach (CHI)",2020
Chris Mannix,Sports Illustrated,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Wood, Christian (HOU)",2020
Diego Martinez,Reforma,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Jeff McDonald,San Antonio Express-News,"Randle, Julius (NYK)","Wood, Christian (HOU)","Grant, Jerami (DET)",2020
Dave McMenamin,ESPN,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Mark Medina,USA Today,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Garland, Darius (CLE)",2020
Yoko Miyaji,Sports Graphic Number,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
