Voter,Affiliation,1st,2nd,3rd,Year
Aaron Falk,Salt Lake Tribune,"Williams, Lou -- TOR","Iguodala, Andre -- GS","Thomas, Isaiah -- BOS",2014
Al Iannazzone,Newsday,"Williams, Lou -- TOR","Crawford, Jamal -- LAC","Thomas, Isaiah -- BOS",2014
Alan Horton,WCCO 830-AM,"Williams, Lou -- TOR","Iguodala, Andre -- GS","Thomas, Isaiah -- BOS",2014
Andre Aldridge,Fox Sports South,"Williams, Lou -- TOR","Iguodala, Andre -- GS","Crawford, Jamal -- LAC",2014
Anthony Slater,Oklahoman,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Crawford, Jamal -- LAC",2014
Bill Land,Fox Sports Southwest,"Thomas, Isaiah -- BOS","Iguodala, Andre -- GS","Williams, Lou -- TOR",2014
Bill Oram,Orange County Register,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Crawford, Jamal -- LAC",2014
Bill Reiter,Foxsports.com,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
Bill Schoening,WOAI Radio,"Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC","Williams, Lou -- TOR",2014
Bill Simmons,Grantland,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Iguodala, Andre -- GS",2014
Bill Wennington,WMVP AM 1000,"Speights, Marreese -- GS","Williams, Lou -- TOR","Thomas, Isaiah -- BOS",2014
Bill Worrell,Root Sports Southwest,"Crawford, Jamal -- LAC","Williams, Lou -- TOR","Mirotic, Nikola -- CHI",2014
Bob Fitzgerald,Comcast SportsNet Bay Area,"Iguodala, Andre -- GS","Thompson, Tristan -- CLE","Ginobili, Manu -- SA",2014
Bob Rathbun,Fox Sports South,"Williams, Lou -- TOR","Crawford, Jamal -- LAC","Iguodala, Andre -- GS",2014
Brendan Brown,MSG Network,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Thompson, Tristan -- CLE",2014
Brian Davis,Fox Sports Oklahoma,"Williams, Lou -- TOR","Iguodala, Andre -- GS","Thompson, Tristan -- CLE",2014
Brian Sieman,The Beast 980 AM FM,"Crawford, Jamal -- LAC","Thomas, Isaiah -- BOS","Williams, Lou -- TOR",2014
Brian Windhorst,ESPN.com,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Thompson, Tristan -- CLE",2014
Candace Buckner,Indianapolis Star,"Williams, Lou -- TOR","Crawford, Jamal -- LAC","Thomas, Isaiah -- BOS",2014
Cedric Maxwell,WEEI Radio,"Crawford, Jamal -- LAC","Williams, Lou -- TOR","Brooks, Aaron -- CHI",2014
Charles Gardner,Milwaukee Journal Sentinel,"Williams, Lou -- TOR","Iguodala, Andre -- GS","Mirotic, Nikola -- CHI",2014
Chris Broussard,ESPN The Magazine,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Crawford, Jamal -- LAC",2014
Chris Carrino,WFAN (660),"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Crawford, Jamal -- LAC",2014
Chris Dempsey,Denver Post,"Williams, Lou -- TOR","Iguodala, Andre -- GS","Crawford, Jamal -- LAC",2014
Chris Denari,Fox Sports Indiana,"Williams, Lou -- TOR","Crawford, Jamal -- LAC","Thomas, Isaiah -- BOS",2014
Chris Haynes,Northeast Ohio Media Group/Cleveland.com,"Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC","Williams, Lou -- TOR",2014
Chris Mannix,Sports Illustrated,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
Chris Sheridan,Sheridanhoops.com,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
Chuck Cooperstein,ESPN 103.3,"Iguodala, Andre -- GS","Williams, Lou -- TOR","Speights, Marreese -- GS",2014
Craig Ackerman,Sportstalk 790 AM,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Brewer, Corey -- HOU",2014
Dan Woike,Orange County Register,"Crawford, Jamal -- LAC","Williams, Lou -- TOR","Thomas, Isaiah -- BOS",2014
Darnell Mayberry,Oklahoman,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Mirotic, Nikola -- CHI",2014
Dave McMenamin,ESPN.com,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
David Aldridge,TNT,"Williams, Lou -- TOR","Crawford, Jamal -- LAC","Thomas, Isaiah -- BOS",2014
David Mayo,Mlive Media Group,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Mirotic, Nikola -- CHI",2014
David Steele,Fox Sports Florida,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Ginobili, Manu -- SA",2014
Dei Lynam,Comcast SportsNet,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Iguodala, Andre -- GS",2014
Dell Curry,Fox Sports Carolinas/SportSouth,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Crawford, Jamal -- LAC",2014
