Voter,Affiliation,1st,2nd,3rd,Year
Aaron Falk,Salt Lake Tribune,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2014
Adrian Chavarria,KEYH 850 AM,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","McHale, Kevin -- Houston",2014
Al Iannazzone,Newsday,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Alan Horton,WCCO 830-AM,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Andre Aldridge,Fox Sports South,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Andy Vasquez,Bergen Record,"Popovich, Gregg -- San Antonio","Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta",2014
Anthony Slater,Oklahoman,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2014
Antonio Harvey,Fox Sports Radio/620AM,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2014
Bill Land,Fox Sports Southwest,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2014
Bill Oram,Orange County Register,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2014
Bill Reiter,Foxsports.com,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Bill Schoening,WOAI Radio,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Thibodeau, Tom -- Chicago",2014
Bill Simmons,Grantland,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2014
Bob Rathbun,Fox Sports South,"Budenholzer, Mike -- Atlanta","Snyder, Quin -- Utah","Kerr, Steve -- Golden State",2014
Brian Davis,Fox Sports Oklahoma,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","McHale, Kevin -- Houston",2014
Brian Sieman,The Beast 980 AM FM,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2014
Brian Windhorst,ESPN.com,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2014
Candace Buckner,Indianapolis Star,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2014
Cedric Maxwell,WEEI Radio,"Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston","Kerr, Steve -- Golden State",2014
Charles Gardner,Milwaukee Journal Sentinel,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2014
Chris Broussard,ESPN The Magazine,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Chris Carrino,WFAN (660),"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2014
Chris Dempsey,Denver Post,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2014
Chris Denari,Fox Sports Indiana,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2014
Chris Mannix,Sports Illustrated,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2014
Chris Marlowe,Altitude Sports & Entertainment,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","McHale, Kevin -- Houston",2014
Chris Sheridan,Sheridanhoops.com,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2014
Chuck Swirsky,WMVP AM 1000,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Dan Woike,Orange County Register,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2014
Dante Marchitelli,Fox Sports Florida,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Darnell Mayberry,Oklahoman,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2014
Dave Johnson,106.7 The Fan,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2014
Dave McMenamin,ESPN.com,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
David Aldridge,TNT,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
David Mayo,Mlive Media Group,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Snyder, Quin -- Utah",2014
Dei Lynam,Comcast SportsNet,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Blatt, David -- Cleveland",2014
Dell Curry,Fox Sports Carolinas/SportSouth,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Blatt, David -- Cleveland",2014
Dennis Neumann,ESPN 580 AM,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2014
Diamond Leung,Bay Area News Group/Contra Costa Times,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2014
Doris Burke,ESPN,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2014
Doug Smith,The Toronto Star,"Kerr, Steve -- Golden State","Stevens, Brad -- Boston","Budenholzer, Mike -- Atlanta",2014
Dwain Price,Ft. Worth Star Telegam,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Eddie Sefko,Dallas Morning News,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Rivers, Doc -- L.A. Clippers",2014
Eric Hasseltine,92.9 FM ESPN/680 AM,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2014
Eric Smith,TSN 1050/Sportsnet 590 The Fan,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2014
Ernie Johnson,TNT,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Ethan Skolnick,Bleacher Report,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2014
Fran Blinebury,NBA.com,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","McHale, Kevin -- Houston",2014
Frank Isola,Sirius Radio/New York Daily News,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Fred McLeod,Fox Sports Ohio,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Blatt, David -- Cleveland",2014
Gary Gerould,Comcast SportsNet-CA,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2014
Gary Washburn,Boston Globe,"Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee","Stevens, Brad -- Boston",2014
George Blaha,WMGC / Fox Sports Detroit,"Thibodeau, Tom -- Chicago","Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta",2014
Grant Napear,Comcast SportsNet-CA,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2014
Howard Beck,Bleacher Report,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2014
Hubie Brown,ESPN,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","McHale, Kevin -- Houston",2014
Israel Guttierez,ESPN.com,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","McHale, Kevin -- Houston",2014
JA Adande,ESPN.com,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Jabari Young,Comcast SportsNet NW,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Jack Armstrong,SportsNet/TSN,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","McHale, Kevin -- Houston",2014
Jason Jackson,Sun Sports,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Jason Jones,Sacramento Bee,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Jason Kosmicki,Altitude Radio Network,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2014
Jason Lloyd,Akron Beacon Journal,"Kidd, Jason -- Milwaukee","Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State",2014
Jeff McDonald,San Antonio Express-News,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2014
Jeff Zillgitt,USA Today,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Jerry Zgoda,Minneapolis Star Tribune,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Jim Barnett,Comcast SportsNet Bay Area,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stotts, Terry -- Portland",2014
Jim Paschke,Fox Sports Wisconsin,"Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee","Kerr, Steve -- Golden State",2014
Jim Petersen,Fox Sports North,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2014
Jody Genessy,Deseret News,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Snyder, Quin -- Utah",2014
Joe Goodman,Miami Herald,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Joel Meyers,Fox Sports New Orleans,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","McHale, Kevin -- Houston",2014
John Denton,OrlandoMagic.com,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2014
John Reid,New Orleans Times Picayune,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Jon Barry,ESPN Radio,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Jonathan Feigen,Houston Chronicle,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2014
Jose Paneda,WAQI Radio,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Ken Berger,CBSSports.com,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2014
Kevin Arnovitz,ESPN.com,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Snyder, Quin -- Utah",2014
Kevin Calabro,ESPN Radio,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Williams, Monty -- New Orleans",2014
Kevin Ding,Bleacher Report,"Popovich, Gregg -- San Antonio","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2014
Lang Whitaker,NBA.com,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2014
