Voter,Affiliation,1st,2nd,3rd,Year
Aaron Falk,Salt Lake Tribune,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Gobert, Rudy -- UTA",2014
Adrian Chavarria,KEYH 850 AM,"Jordan, DeAndre -- LAC","Gasol, Marc -- MEM","Leonard, Kawhi -- SA",2014
Alan Horton,WCCO 830-AM,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Allen, Tony -- MEM",2014
Andre Aldridge,Fox Sports South,"Jordan, DeAndre -- LAC","Green, Draymond -- GS","Leonard, Kawhi -- SA",2014
Anthony Slater,Oklahoman,"Green, Draymond -- GS","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA",2014
Antonio Harvey,Fox Sports Radio/620AM,"Jordan, DeAndre -- LAC","Davis, Anthony -- NO","Whiteside, Hassan -- MIA",2014
Bill Land,Fox Sports Southwest,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Duncan, Tim -- SA",2014
Bill Oram,Orange County Register,"Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Bogut, Andrew -- GS",2014
Bill Reiter,Foxsports.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS",2014
Bill Schoening,WOAI Radio,"Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Davis, Anthony -- NO",2014
Bill Simmons,Grantland,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Gobert, Rudy -- UTA",2014
Bill Wennington,WMVP AM 1000,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Allen, Tony -- MEM",2014
Bill Worrell,Root Sports Southwest,"Green, Draymond -- GS","Ariza, Trevor -- HOU","Jordan, DeAndre -- LAC",2014
Bob Cooney,Philadelphia Daily News,"Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Green, Draymond -- GS",2014
Bob Fitzgerald,Comcast SportsNet Bay Area,"Green, Draymond -- GS","Bogut, Andrew -- GS","Leonard, Kawhi -- SA",2014
Bob Rathbun,Fox Sports South,"Davis, Anthony -- NO","Green, Draymond -- GS","Gobert, Rudy -- UTA",2014
Brendan Brown,MSG Network,"Davis, Anthony -- NO","Gobert, Rudy -- UTA","Carroll, DeMarre -- ATL",2014
Brian Windhorst,ESPN.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Gobert, Rudy -- UTA",2014
Candace Buckner,Indianapolis Star,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Allen, Tony -- MEM",2014
Charles Gardner,Milwaukee Journal Sentinel,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS",2014
Chris Broussard,ESPN The Magazine,"Green, Draymond -- GS","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA",2014
Chris Dempsey,Denver Post,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Davis, Anthony -- NO",2014
Chris Denari,Fox Sports Indiana,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2014
Chris Mannix,Sports Illustrated,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC",2014
Chris Marlowe,Altitude Sports & Entertainment,"Jordan, DeAndre -- LAC","Davis, Anthony -- NO","Leonard, Kawhi -- SA",2014
Chris Sheridan,Sheridanhoops.com,"Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Green, Draymond -- GS",2014
Chuck Cooperstein,ESPN 103.3,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS",2014
Dan Woike,Orange County Register,"Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Green, Draymond -- GS",2014
Dante Marchitelli,Fox Sports Florida,"Green, Draymond -- GS","Butler, Jimmy -- CHI","Leonard, Kawhi -- SA",2014
Darnell Mayberry,Oklahoman,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS",2014
Dave McMenamin,ESPN.com,"Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Jordan, DeAndre -- LAC",2014
