Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year,Award
Ailene Voisin,Sacramento Bee,"Durant, Kevin (G.S.)","James, LeBron (Cle.)","Jokic, Nikola (Den.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Butler, Jimmy (Chi.)","Gobert, Rudy (Utah)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)","Davis, Anthony (N.O.)","Antetokounmpo, Giannis (Mil.)","Cousins, DeMarcus (N.O.)","Irving, Kyrie (Cle.)","Lillard, Damian (Por.)",2016,All-NBA
Andrew Sharp,Sports Illustrated,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Green, Draymond (G.S.)","Butler, Jimmy (Chi.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Wall, John (Was.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Thomas, Isaiah (Bos.)","DeRozan, DeMar (Tor.)",2016,All-NBA
Anthony Slater,Bay Area News Group,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Durant, Kevin (G.S.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Wall, John (Was.)","Green, Draymond (G.S.)","Butler, Jimmy (Chi.)","Gasol, Marc (Mem.)","Thomas, Isaiah (Bos.)","Paul, Chris (LA-C)",2016,All-NBA
Antoni Daimiel,Moviestar+,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Green, Draymond (G.S.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Towns, Karl-Anthony (Min.)","George, Paul (Ind.)","Gobert, Rudy (Utah)","DeRozan, DeMar (Tor.)","Irving, Kyrie (Cle.)",2016,All-NBA
Ben Golliver,Sports Illustrated,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Butler, Jimmy (Chi.)","Green, Draymond (G.S.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Wall, John (Was.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Gasol, Marc (Mem.)","Paul, Chris (LA-C)","Thomas, Isaiah (Bos.)",2016,All-NBA
Bill Oram,Orange County Register,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)","Butler, Jimmy (Chi.)","Green, Draymond (G.S.)","Jordan, DeAndre (LA-C)","Wall, John (Was.)","Paul, Chris (LA-C)",2016,All-NBA
Bill Simmons,The Ringer,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Hayward, Gordon (Utah)","Green, Draymond (G.S.)","Jokic, Nikola (Den.)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2016,All-NBA
Brent Barry,Turner,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Durant, Kevin (G.S.)","Gobert, Rudy (Utah)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)","Hayward, Gordon (Utah)","Butler, Jimmy (Chi.)","Gasol, Marc (Mem.)","DeRozan, DeMar (Tor.)","Wall, John (Was.)",2016,All-NBA
Brian Lewis,New York Post,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","Butler, Jimmy (Chi.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Durant, Kevin (G.S.)","Green, Draymond (G.S.)","Gasol, Marc (Mem.)","Wall, John (Was.)","Paul, Chris (LA-C)",2016,All-NBA
Brian Mahoney,Associated Press,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","George, Paul (Ind.)","Davis, Anthony (N.O.)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)","Butler, Jimmy (Chi.)","Durant, Kevin (G.S.)","Green, Draymond (G.S.)","DeRozan, DeMar (Tor.)","Wall, John (Was.)",2016,All-NBA
