Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Aaron Falk,Salt Lake Tribune,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL","Lyles, Trey -- UTA","Turner, Myles -- IND",2016,All-Rookie
Adrian Chavarria,KEYH 850 AM,"Porzingis, Kristaps -- NYK","Towns, Karl-Anthony -- MIN","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL","Mudiay, Emmanuel -- DEN","Portis, Bobby -- CHI","Booker, Devin -- PHX","Marjanovic, Boban -- SA","Powell, Norman -- TOR","Turner, Myles -- IND",2016,All-Rookie
Al Iannazzone,Newsday,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Johnson, Stanley -- DET","Turner, Myles -- IND",2016,All-Rookie
Alan Horton,WCCO 830-AM,"Towns, Karl-Anthony -- MIN","Jokic, Nikola -- DEN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Cauley-Stein, Willie -- SAC","Okafor, Jahlil -- PHI","Lyles, Trey -- UTA","Turner, Myles -- IND",2016,All-Rookie
Andre Aldridge,Fox Sports South,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Turner, Myles -- IND","Cauley-Stein, Willie -- SAC","Winslow, Justise -- MIA","Mudiay, Emmanuel -- DEN","Richardson, Josh -- MIA","Okafor, Jahlil -- PHI",2016,All-Rookie
Antonio Harvey,Fox Sports Radio/620AM,"Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Okafor, Jahlil -- PHI","Porzingis, Kristaps -- NYK","Towns, Karl-Anthony -- MIN","Russell, D'Angelo -- LAL","Winslow, Justise -- MIA","Johnson, Stanley -- DET","Turner, Myles -- IND","Nance Jr., Larry -- LAL",2016,All-Rookie
Bill Land,Fox Sports Southwest,"Jokic, Nikola -- DEN","Porzingis, Kristaps -- NYK","Towns, Karl-Anthony -- MIN","Okafor, Jahlil -- PHI","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Richardson, Josh -- MIA","Russell, D'Angelo -- LAL","Turner, Myles -- IND","Winslow, Justise -- MIA",2016,All-Rookie
Bill Oram,Orange County Register,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Johnson, Stanley -- DET","Winslow, Justise -- MIA","Turner, Myles -- IND",2016,All-Rookie
Bill Reiter,CBSSports.com,"Russell, D'Angelo -- LAL","Booker, Devin -- PHX","Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Turner, Myles -- IND","Winslow, Justise -- MIA","Cauley-Stein, Willie -- SAC","Okafor, Jahlil -- PHI","Johnson, Stanley -- DET",2016,All-Rookie
Bill Schoening,WOAI Radio,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Mudiay, Emmanuel -- DEN","Okafor, Jahlil -- PHI","Winslow, Justise -- MIA","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Richardson, Josh -- MIA","Russell, D'Angelo -- LAL","Turner, Myles -- IND",2016,All-Rookie
Bill Simmons,Bill Simmons Podcast/HBO,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Turner, Myles -- IND","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Lyles, Trey -- UTA","Russell, D'Angelo -- LAL",2016,All-Rookie
Bill Wennington,ESPN AM 1000,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","McConnell, TJ -- PHI","Russell, D'Angelo -- LAL","Mudiay, Emmanuel -- DEN","Booker, Devin -- PHX","Kaminsky, Frank -- CHA","Okafor, Jahlil -- PHI","Turner, Myles -- IND","Johnson, Stanley -- DET",2016,All-Rookie
Bob Fitzgerald,Comcast SportsNet Bay Area,"Okafor, Jahlil -- PHI","Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Turner, Myles -- IND","Russell, D'Angelo -- LAL","Jokic, Nikola -- DEN","Portis, Bobby -- CHI","Kaminsky, Frank -- CHA","Mudiay, Emmanuel -- DEN",2016,All-Rookie
Bob Rathbun,Fox Sports South,"Towns, Karl-Anthony -- MIN","Booker, Devin -- PHX","Porzingis, Kristaps -- NYK","Turner, Myles -- IND","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Mudiay, Emmanuel -- DEN","Johnson, Stanley -- DET","Kaminsky, Frank -- CHA","Richardson, Josh -- MIA",2016,All-Rookie
Brian Lewis,New York Post,"Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Towns, Karl-Anthony -- MIN","Okafor, Jahlil -- PHI","Booker, Devin -- PHX","Lyles, Trey -- UTA","Russell, D'Angelo -- LAL","Mudiay, Emmanuel -- DEN","Winslow, Justise -- MIA","Turner, Myles -- IND",2016,All-Rookie
Brian Mahoney,Associated Press,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Turner, Myles -- IND","Okafor, Jahlil -- PHI","Winslow, Justise -- MIA","Richardson, Josh -- MIA","Russell, D'Angelo -- LAL","Powell, Norman -- TOR","Jokic, Nikola -- DEN",2016,All-Rookie
Brian Sieman,The Beast 980,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Russell, D'Angelo -- LAL","Turner, Myles -- IND","Cauley-Stein, Willie -- SAC","Johnson, Stanley -- DET","Jokic, Nikola -- DEN",2016,All-Rookie
Brian Windhorst,ESPN.com,"Porzingis, Kristaps -- NYK","Towns, Karl-Anthony -- MIN","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Turner, Myles -- IND","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Russell, D'Angelo -- LAL","Winslow, Justise -- MIA","Richardson, Josh -- MIA",2016,All-Rookie
Cedric Maxwell,98.5 The Sports Hub,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Kaminsky, Frank -- CHA","Richardson, Josh -- MIA","Winslow, Justise -- MIA","Cauley-Stein, Willie -- SAC","Russell, D'Angelo -- LAL","Grant, Jerian -- NYK",2016,All-Rookie
Charles Gardner,Milwaukee Journal Sentinel,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Richardson, Josh -- MIA","Kaminsky, Frank -- CHA","Mudiay, Emmanuel -- DEN","Winslow, Justise -- MIA","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL",2016,All-Rookie
Chris Broussard,ESPN,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Russell, D'Angelo -- LAL","Johnson, Stanley -- DET","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Richardson, Josh -- MIA",2016,All-Rookie
Chris Carrino,WFAN (660),"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Okafor, Jahlil -- PHI","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Johnson, Stanley -- DET","Kaminsky, Frank -- CHA","Mudiay, Emmanuel -- DEN",2016,All-Rookie
Chris Dempsey,Denver Post,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Russell, D'Angelo -- LAL","Okafor, Jahlil -- PHI","Cauley-Stein, Willie -- SAC","McConnell, TJ -- PHI",2016,All-Rookie
Chris Denari,Fox Sports Indiana,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Turner, Myles -- IND","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL","Mudiay, Emmanuel -- DEN","Winslow, Justise -- MIA","Kaminsky, Frank -- CHA",2016,All-Rookie
Chris Haynes,Northeast Ohio Media Group/Cleveland.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Johnson, Stanley -- DET","Jokic, Nikola -- DEN","Cauley-Stein, Willie -- SAC",2016,All-Rookie
Chris Marlowe,Altitude Sports & Entertainment,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Mudiay, Emmanuel -- DEN","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Cauley-Stein, Willie -- SAC","Okafor, Jahlil -- PHI","Turner, Myles -- IND","Russell, D'Angelo -- LAL","Johnson, Stanley -- DET",2016,All-Rookie
Chris Sheridan,Sheridanhoops.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Richardson, Josh -- MIA","Russell, D'Angelo -- LAL","Winslow, Justise -- MIA","Mudiay, Emmanuel -- DEN","Okafor, Jahlil -- PHI","Kaminsky, Frank -- CHA","Turner, Myles -- IND",2016,All-Rookie
Craig Ackerman,Sportstalk 790 AM,"Towns, Karl-Anthony -- MIN","Booker, Devin -- PHX","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Okafor, Jahlil -- PHI","Turner, Myles -- IND","Russell, D'Angelo -- LAL","Winslow, Justise -- MIA","Mudiay, Emmanuel -- DEN","Richardson, Josh -- MIA",2016,All-Rookie
