Voter,Affiliation,1st,2nd,3rd,4th,5th,Year
Ailene Voisin,Sacramento Bee,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Andrew Sharp,Sports Illustrated,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Anthony Slater,Bay Area News Group,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Antoni Daimiel,Moviestar+,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
Ben Golliver,Sports Illustrated,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Bill Oram,Orange County Register,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
Bill Simmons,The Ringer,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Brent Barry,Turner,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Brian Lewis,New York Post,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Brian Mahoney,Associated Press,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)",2016
Brian Windhorst,ESPN.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)",2016
Calvin Watkins,ESPN.com,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)",2016
Charles Gardner,Milwaukee Journal-Sentinel,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)",2016
Chris Broussard,Fox Sports,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
Chris Webber,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
David Aldridge,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Durant, Kevin (G.S.)",2016
Davide Chinellato,LaGazetta Dello Sport,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Dennis Scott,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Durant, Kevin (G.S.)",2016
Doris Burke,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2016
Doug Collins,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2016
Doug Haller,Arizona Republic,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Doug Smith,The Toronto Star,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Eddie Sefko,Dallas Morning News,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
Erik Horne,The Oklahoman,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
Ernie Johnson,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
Flavio Tranquillo,Sky Italia,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Fran Blinebury,NBA.com,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Frank Isola,Sirius Radio/New York Daily News,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
Gary Washburn,Boston Globe,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2016
Howard Beck,Bleacher Report,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Hubie Brown,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2016
J Falgoust,CSN Washington,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2016
JA Adande,ESPN.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Jackie MacMullan,ESPN.com,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)",2016
Jacques Monclar,BEIN Sport,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2016
Jalen Rose,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
Jared Greenberg,Turner,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)",2016
Jason Jones,Sacramento Bee,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2016
Jeff McDonald,San Antonio Express-News,"Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Jeff Zillgitt,USA Today,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2016
Jerry Zgoda,Minneapolis Star-Tribune,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
Joe Freeman,The Oregonian,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)",2016
Joe Vardon,Cleveland.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2016
John Schuhmann,NBA.com,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2016
Jon Barry,ESPN Radio,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2016
Jon Krawczynski,Associated Press,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)",2016
Justin Termine,Sirius XM,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
Justin Verrier,ESPN.com,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
KC Johnson,Chicago Tribune,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)",2016
Keith Pompey,Philadelphia Inquirer,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
Kevin Arnovitz,ESPN.com,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Kevin Ding,Bleacher Report,"Harden, James (Hou.)","James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Curry, Stephen (G.S.)","Leonard, Kawhi (S.A.)",2016
Kevin Harlan,Turner,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2016
Kevin O'Connor,The Ringer,"Harden, James (Hou.)","James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2016
Kristen Ledlow,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2016
Kurt Helin,NBCSports.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
Lang Whitaker,NBA.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2016
Lee Jenkins,Sports Illustrated,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)",2016
Lisa Yang,Tencent,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Curry, Stephen (G.S.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2016
Manny Navaro,Miami Herald,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2016
Marc Berman,New York Post,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2016
