Voter,Affiliation,1st,2nd,3rd,Year,Award
Ailene Voisin,Sacramento Bee,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Mills, Patty (S.A.)",2017,6th
Andrew Sharp,Sports Illustrated,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Williams, Lou (Hou.)",2017,6th
Anthony Slater,Bay Area News Group,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Mills, Patty (S.A.)",2017,6th
Antoni Daimiel,Moviestar+,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Johnson, James (Mia.)",2017,6th
Ben Golliver,Sports Illustrated,"Iguodala, Andre (G.S.)","Williams, Lou (Hou.)","Gordon, Eric (Hou.)",2017,6th
Bill Oram,Orange County Register,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Monroe, Greg (Mil.)",2017,6th
Bill Simmons,The Ringer,"Iguodala, Andre (G.S.)","Johnson, James (Mia.)","Gordon, Eric (Hou.)",2017,6th
Brent Barry,Turner,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Mills, Patty (S.A.)",2017,6th
Brian Lewis,New York Post,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Monroe, Greg (Mil.)",2017,6th
Brian Mahoney,Associated Press,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Williams, Lou (Hou.)",2017,6th
Brian Windhorst,ESPN.com,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Monroe, Greg (Mil.)",2017,6th
Calvin Watkins,ESPN.com,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)",2017,6th
Charles Gardner,Milwaukee Journal-Sentinel,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Monroe, Greg (Mil.)",2017,6th
Chris Broussard,Fox Sports,"Gordon, Eric (Hou.)","Randolph, Zach (Mem.)","Iguodala, Andre (G.S.)",2017,6th
Chris Webber,Turner,"Williams, Lou (Hou.)","Gordon, Eric (Hou.)","Randolph, Zach (Mem.)",2017,6th
David Aldridge,Turner,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Williams, Lou (Hou.)",2017,6th
Davide Chinellato,LaGazetta Dello Sport,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Williams, Lou (Hou.)",2017,6th
Dennis Scott,Turner,"Crawford, Jamal (LA-C)","Williams, Lou (Hou.)","Iguodala, Andre (G.S.)",2017,6th
Doris Burke,ABC/ESPN,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Johnson, James (Mia.)",2017,6th
Doug Collins,ABC/ESPN,"Randolph, Zach (Mem.)","Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)",2017,6th
Doug Haller,Arizona Republic,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Crawford, Jamal (LA-C)",2017,6th
Doug Smith,The Toronto Star,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)",2017,6th
Eddie Sefko,Dallas Morning News,"Gordon, Eric (Hou.)","Crawford, Jamal (LA-C)","Williams, Lou (Hou.)",2017,6th
Erik Horne,The Oklahoman,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Williams, Lou (Hou.)",2017,6th
Ernie Johnson,Turner,"Williams, Lou (Hou.)","Gordon, Eric (Hou.)","Kanter, Enes (OKC.)",2017,6th
Flavio Tranquillo,Sky Italia,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Mills, Patty (S.A.)",2017,6th
Fran Blinebury,NBA.com,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)",2017,6th
Frank Isola,Sirius Radio/New York Daily News,"Gordon, Eric (Hou.)","Williams, Lou (Hou.)","Crawford, Jamal (LA-C)",2017,6th
Gary Washburn,Boston Globe,"Williams, Lou (Hou.)","Gordon, Eric (Hou.)","Johnson, James (Mia.)",2017,6th
Howard Beck,Bleacher Report,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)",2017,6th
Hubie Brown,ABC/ESPN,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Mills, Patty (S.A.)",2017,6th
J Falgoust,CSN Washington,"Johnson, James (Mia.)","Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)",2017,6th
JA Adande,ESPN.com,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Brogdon, Malcolm (Mil.)",2017,6th
Jackie MacMullan,ESPN.com,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Williams, Lou (Hou.)",2017,6th
Jacques Monclar,BEIN Sport,"Gordon, Eric (Hou.)","Randolph, Zach (Mem.)","Williams, Lou (Hou.)",2017,6th
Jalen Rose,ABC/ESPN,"Gordon, Eric (Hou.)","Crawford, Jamal (LA-C)","Williams, Lou (Hou.)",2017,6th
Jared Greenberg,Turner,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Mills, Patty (S.A.)",2017,6th
Jason Jones,Sacramento Bee,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Mills, Patty (S.A.)",2017,6th
Jeff McDonald,San Antonio Express-News,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Williams, Lou (Hou.)",2017,6th
Jeff Zillgitt,USA Today,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Monroe, Greg (Mil.)",2017,6th
Jerry Zgoda,Minneapolis Star-Tribune,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Kanter, Enes (OKC.)",2017,6th
Joe Freeman,The Oregonian,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Johnson, James (Mia.)",2017,6th
Joe Vardon,Cleveland.com,"Gordon, Eric (Hou.)","Mills, Patty (S.A.)","Randolph, Zach (Mem.)",2017,6th
John Schuhmann,NBA.com,"Monroe, Greg (Mil.)","Iguodala, Andre (G.S.)","Mills, Patty (S.A.)",2017,6th
Jon Barry,ESPN Radio,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Williams, Lou (Hou.)",2017,6th
Jon Krawczynski,Associated Press,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Monroe, Greg (Mil.)",2017,6th
Justin Termine,Sirius XM,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)",2017,6th
Justin Verrier,ESPN.com,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Monroe, Greg (Mil.)",2017,6th
KC Johnson,Chicago Tribune,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Johnson, James (Mia.)",2017,6th
