Voter,Affiliation,1st,2nd,3rd,Year,Award
Ailene Voisin,Sacramento Bee,"Snyder, Quin (UTA)","Casey, Dwane (TOR)","Stevens, Brad (BOS)",2017,COY
Amin Elhassan,ESPN.com,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","Stotts, Terry (POR)",2017,COY
Andrew Sharp,Sports Illustrated,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Anthony Slater,The Athletic,"Snyder, Quin (UTA)","Casey, Dwane (TOR)","Stevens, Brad (BOS)",2017,COY
Ben Golliver,Sports Illustrated,"Brown, Brett (PHI)","Casey, Dwane (TOR)","Stevens, Brad (BOS)",2017,COY
Bill Oram,Orange County Register,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","D’Antoni, Mike (HOU)",2017,COY
Bill Simmons,The Ringer,"Stevens, Brad (BOS)","Snyder, Quin (UTA)","Brown, Brett (PHI)",2017,COY
Brent Barry,Turner,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","McMillan, Nate (IND)",2017,COY
Brett Dawson,The Oklahoman,"Brown, Brett (PHI)","Snyder, Quin (UTA)","D’Antoni, Mike (HOU)",2017,COY
Brian Mahoney,Associated Press,"Stevens, Brad (BOS)","Stotts, Terry (POR)","Snyder, Quin (UTA)",2017,COY
Brian Windhorst,ESPN.com,"Stevens, Brad (BOS)","Snyder, Quin (UTA)","McMillan, Nate (IND)",2017,COY
Cassidy Hubbarth,ESPN,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","Snyder, Quin (UTA)",2017,COY
Chase Hughes,NBCSportsWashington.com,"Snyder, Quin (UTA)","Stevens, Brad (BOS)","Popovich, Gregg (SAS)",2017,COY
Chris Broussard,Fox Sports,"Snyder, Quin (UTA)","Stevens, Brad (BOS)","Casey, Dwane (TOR)",2017,COY
Chris Haynes,ESPN.com,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Stotts, Terry (POR)",2017,COY
Chris Mannix,Yahoo!,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Chris Webber,Turner,"Brown, Brett (PHI)","D’Antoni, Mike (HOU)","Stevens, Brad (BOS)",2017,COY
Clifton Brown,Indianapolis Star,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","McMillan, Nate (IND)",2017,COY
Connor Letourneau,San Francisco Chronicle,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","D’Antoni, Mike (HOU)",2017,COY
Dave McMenamin,ESPN.com,"Brown, Brett (PHI)","Casey, Dwane (TOR)","D’Antoni, Mike (HOU)",2017,COY
David Aldridge,Turner,"Casey, Dwane (TOR)","McMillan, Nate (IND)","Brown, Brett (PHI)",2017,COY
Davide Chinellato,La Gazzetta dello Sport,"D’Antoni, Mike (HOU)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Dennis Scott,Turner,"D’Antoni, Mike (HOU)","Stevens, Brad (BOS)","Casey, Dwane (TOR)",2017,COY
Diego Cabrera,Periódico Reforma,"Casey, Dwane (TOR)","D’Antoni, Mike (HOU)","Brown, Brett (PHI)",2017,COY
Doris Burke,ABC/ESPN,"Snyder, Quin (UTA)","Casey, Dwane (TOR)","Stevens, Brad (BOS)",2017,COY
Eddie Sefko,Dallas Morning News,"Casey, Dwane (TOR)","Stotts, Terry (POR)","D’Antoni, Mike (HOU)",2017,COY
Elliott Teaford,Southern California News Group,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Rivers, Doc (LAC)",2017,COY
Ernie Johnson,Turner,"Snyder, Quin (UTA)","Casey, Dwane (TOR)","Brown, Brett (PHI)",2017,COY
Flavio Tranquillo,Sky Italia,"Snyder, Quin (UTA)","Stevens, Brad (BOS)","Stotts, Terry (POR)",2017,COY
Frank Isola,Sirius Radio/New York Daily News,"Snyder, Quin (UTA)","Casey, Dwane (TOR)","Brown, Brett (PHI)",2017,COY
Gary Washburn,Boston Globe,"Brown, Brett (PHI)","McMillan, Nate (IND)","Snyder, Quin (UTA)",2017,COY
Gina Mizell,Denver Post,"Stevens, Brad (BOS)","Snyder, Quin (UTA)","Casey, Dwane (TOR)",2017,COY
Greg Anthony,Turner,"Casey, Dwane (TOR)","D’Antoni, Mike (HOU)","Stotts, Terry (POR)",2017,COY
Greg Logan,Newsday,"D’Antoni, Mike (HOU)","Brown, Brett (PHI)","Casey, Dwane (TOR)",2017,COY
Howard Beck,Bleacher Report,"Brown, Brett (PHI)","Snyder, Quin (UTA)","McMillan, Nate (IND)",2017,COY
Jackie MacMullan,ESPN.com,"Stevens, Brad (BOS)","Snyder, Quin (UTA)","Casey, Dwane (TOR)",2017,COY
Jalen Rose,ABC/ESPN,"Snyder, Quin (UTA)","Casey, Dwane (TOR)","Brown, Brett (PHI)",2017,COY
Jared Greenberg,Turner,"Snyder, Quin (UTA)","Stevens, Brad (BOS)","Casey, Dwane (TOR)",2017,COY
Jason Jones,Sacramento Bee,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Gentry, Alvin (NOP)",2017,COY
Jason Lloyd,The Athletic,"Stevens, Brad (BOS)","Snyder, Quin (UTA)","Casey, Dwane (TOR)",2017,COY
Jason Quick,NBC Sports Northwest,"Casey, Dwane (TOR)","D’Antoni, Mike (HOU)","Stotts, Terry (POR)",2017,COY
Jeff McDonald,San Antonio Express‐News,"Snyder, Quin (UTA)","Stevens, Brad (BOS)","Brown, Brett (PHI)",2017,COY
Jeff Zillgitt,USA Today,"Snyder, Quin (UTA)","Casey, Dwane (TOR)","Stevens, Brad (BOS)",2017,COY
Jerry Zgoda,Minneapolis Star Tribune,"Brown, Brett (PHI)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Joe Cowley,Chicago Sun‐Times,"D’Antoni, Mike (HOU)","Snyder, Quin (UTA)","Stevens, Brad (BOS)",2017,COY
John Schuhmann,NBA.com,"Casey, Dwane (TOR)","Brown, Brett (PHI)","Stevens, Brad (BOS)",2017,COY
Jon Barry,ESPN Radio,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Stevens, Brad (BOS)",2017,COY
Justin Termine,Sirius Radio,"Snyder, Quin (UTA)","Stevens, Brad (BOS)","Casey, Dwane (TOR)",2017,COY
KC Johnson,Chicago Tribune,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","Snyder, Quin (UTA)",2017,COY
Keith Pompey,Philadelphia Inquirer,"Brown, Brett (PHI)","Snyder, Quin (UTA)","Casey, Dwane (TOR)",2017,COY
Kevin Arnovitz,ESPN.com,"Casey, Dwane (TOR)","McMillan, Nate (IND)","Snyder, Quin (UTA)",2017,COY
Kevin Harlan,Turner,"Brown, Brett (PHI)","Casey, Dwane (TOR)","Stotts, Terry (POR)",2017,COY
Kevin O'Connor,The Ringer,"Stevens, Brad (BOS)","Snyder, Quin (UTA)","Casey, Dwane (TOR)",2017,COY
Kevin Pelton,ESPN.com,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Stotts, Terry (POR)",2017,COY
Kristen Ledlow,Turner,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Kurt Helin,NBCSports.com,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Lee Jenkins,Sports Illustrated,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Lisa Yang,Tencent,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Stevens, Brad (BOS)",2017,COY
Manny Navarro,Miami Herald,"Snyder, Quin (UTA)","McMillan, Nate (IND)","Casey, Dwane (TOR)",2017,COY
Marc Berman,New York Post,"Stevens, Brad (BOS)","Brown, Brett (PHI)","McMillan, Nate (IND)",2017,COY
Marc Kestecher,ESPN Radio,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Stevens, Brad (BOS)",2017,COY
Mark Jackson,ABC/ESPN,"Casey, Dwane (TOR)","Stotts, Terry (POR)","Snyder, Quin (UTA)",2017,COY
Marv Albert,Turner,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Brown, Brett (PHI)",2017,COY
Matt Velazquez,Milwaukee Journal Sentinel,"Stevens, Brad (BOS)","Snyder, Quin (UTA)","McMillan, Nate (IND)",2017,COY
Matt Winer,Turner,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","Snyder, Quin (UTA)",2017,COY
Michael Grange,Rogers Sportsnet,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Stotts, Terry (POR)",2017,COY
Michael Wilbon,ABC/ESPN,"Snyder, Quin (UTA)","Casey, Dwane (TOR)","Stotts, Terry (POR)",2017,COY
Michelle Beadle,ABC/ESPN,"Snyder, Quin (UTA)","Brown, Brett (PHI)","Stevens, Brad (BOS)",2017,COY
Mike Breen,ABC/ESPN,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Brown, Brett (PHI)",2017,COY
Mike Ganter,Toronto Sun,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","McMillan, Nate (IND)",2017,COY
Nira Khurana,Excelsior,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","Snyder, Quin (UTA)",2017,COY
Paul Flannery,SB Nation,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Rachel Nichols,ABC/ESPN,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Ramona Shelburne,ESPN.com,"Snyder, Quin (UTA)","McMillan, Nate (IND)","Stevens, Brad (BOS)",2017,COY
