Voter,Affiliation,1st,2nd,3rd,Year
Ailene Voisin,Sacramento Bee,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Dinwiddie, Spencer (BKN)",2017
Amin Elhassan,ESPN.com,"Oladipo, Victor (IND)","Randle, Julius (LAL)","Brown, Jaylen (BOS)",2017
Andrew Sharp,Sports Illustrated,"Oladipo, Victor (IND)","VanVleet, Fred (TOR)","Dinwiddie, Spencer (BKN)",2017
Anthony Slater,The Athletic,"Oladipo, Victor (IND)","Murray, Jamal (DEN)","Adams, Steven (OKC)",2017
Ben Golliver,Sports Illustrated,"Oladipo, Victor (IND)","Brown, Jaylen (BOS)","Murray, Jamal (DEN)",2017
Bill Oram,Orange County Register,"Oladipo, Victor (IND)","DeRozan, DeMar (TOR)","Randle, Julius (LAL)",2017
Bill Simmons,The Ringer,"Oladipo, Victor (IND)","Dinwiddie, Spencer (BKN)","Dunn, Kris (CHI)",2017
Brent Barry,Turner,"Oladipo, Victor (IND)","Drummond, Andre (DET)","Rozier, Terry (BOS)",2017
Brett Dawson,The Oklahoman,"Oladipo, Victor (IND)","Adams, Steven (OKC)","Murray, Jamal (DEN)",2017
Brian Mahoney,Associated Press,"Capela, Clint (HOU)","Brown, Jaylen (BOS)","Oladipo, Victor (IND)",2017
Brian Windhorst,ESPN.com,"Oladipo, Victor (IND)","Dinwiddie, Spencer (BKN)","Drummond, Andre (DET)",2017
Cassidy Hubbarth,ESPN,"Oladipo, Victor (IND)","Adams, Steven (OKC)","VanVleet, Fred (TOR)",2017
Chase Hughes,NBCSportsWashington.com,"Oladipo, Victor (IND)","Jokic, Nikola (DEN)","Porzingis, Kristaps (NYK)",2017
Chris Broussard,Fox Sports,"Oladipo, Victor (IND)","Murray, Dejounte (SAS)","Murray, Jamal (DEN)",2017
Chris Haynes,ESPN.com,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Gordon, Aaron (ORL)",2017
Chris Mannix,Yahoo!,"Oladipo, Victor (IND)","Murray, Jamal (DEN)","Rozier, Terry (BOS)",2017
Chris Webber,Turner,"Oladipo, Victor (IND)","Brown, Jaylen (BOS)","Capela, Clint (HOU)",2017
Clifton Brown,Indianapolis Star,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Dinwiddie, Spencer (BKN)",2017
Connor Letourneau,San Francisco Chronicle,"Oladipo, Victor (IND)","Brown, Jaylen (BOS)","Murray, Jamal (DEN)",2017
Dave McMenamin,ESPN.com,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Dinwiddie, Spencer (BKN)",2017
David Aldridge,Turner,"Oladipo, Victor (IND)","Murray, Jamal (DEN)","Moore, E'Twaun (NOP)",2017
Davide Chinellato,La Gazzetta dello Sport,"Oladipo, Victor (IND)","Adams, Steven (OKC)","Capela, Clint (HOU)",2017
Dennis Scott,Turner,"Oladipo, Victor (IND)","Harris, Tobias (LAL)","Brown, Jaylen (BOS)",2017
Diego Cabrera,Periódico Reforma,"Oladipo, Victor (IND)","Brown, Jaylen (BOS)","Dunn, Kris (CHI)",2017
Doris Burke,ABC/ESPN,"Oladipo, Victor (IND)","Murray, Jamal (DEN)","Adams, Steven (OKC)",2017
Eddie Sefko,Dallas Morning News,"Oladipo, Victor (IND)","Capela, Clint (HOU)","DeRozan, DeMar (TOR)",2017
Elliott Teaford,Southern California News Group,"Oladipo, Victor (IND)","Adams, Steven (OKC)","Ingram, Brandon (LAL)",2017
Ernie Johnson,Turner,"Oladipo, Victor (IND)","Williams, Lou (LAL)","Capela, Clint (HOU)",2017
Flavio Tranquillo,Sky Italia,"Oladipo, Victor (IND)","Adams, Steven (OKC)","Capela, Clint (HOU)",2017
Frank Isola,Sirius Radio/New York Daily News,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Towns, Karl‐Anthony (MIN)",2017
Gary Washburn,Boston Globe,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Warren, TJ (PHX)",2017
Gina Mizell,Denver Post,"Oladipo, Victor (IND)","Ingram, Brandon (LAL)","VanVleet, Fred (TOR)",2017
Greg Anthony,Turner,"Oladipo, Victor (IND)","Dinwiddie, Spencer (BKN)","Capela, Clint (HOU)",2017
Greg Logan,Newsday,"Oladipo, Victor (IND)","Dinwiddie, Spencer (BKN)","Capela, Clint (HOU)",2017
Howard Beck,Bleacher Report,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Ingles, Joe (UTA)",2017
Jackie MacMullan,ESPN.com,"Oladipo, Victor (IND)","Murray, Jamal (DEN)","VanVleet, Fred (TOR)",2017
Jalen Rose,ABC/ESPN,"Oladipo, Victor (IND)","Jokic, Nikola (DEN)","Brown, Jaylen (BOS)",2017
Jared Greenberg,Turner,"Oladipo, Victor (IND)","Rozier, Terry (BOS)","Randle, Julius (LAL)",2017
Jason Jones,Sacramento Bee,"Oladipo, Victor (IND)","Brown, Jaylen (BOS)","Capela, Clint (HOU)",2017
Jason Lloyd,The Athletic,"Oladipo, Victor (IND)","Randle, Julius (LAL)","Drummond, Andre (DET)",2017
Jason Quick,NBC Sports Northwest,"Oladipo, Victor (IND)","Randle, Julius (LAL)","Rubio, Ricky (UTA)",2017
Jeff McDonald,San Antonio Express‐News,"Oladipo, Victor (IND)","Randle, Julius (LAL)","Adams, Steven (OKC)",2017
Jeff Zillgitt,USA Today,"Oladipo, Victor (IND)","Randle, Julius (LAL)","Gordon, Aaron (ORL)",2017
