Voter,Affiliation,1st,2nd,3rd,Year,Award
Ailene Voisin,Sacramento Bee,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2018,DPOY
Amin Elhassan,ESPN.com,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2018,DPOY
Andrew Sharp,Sports Illustrated,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Anthony Slater,The Athletic,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Green, Draymond (GSW)",2018,DPOY
Ben Golliver,Sports Illustrated,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Bill Oram,Orange County Register,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2018,DPOY
Bill Simmons,The Ringer,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Brent Barry,Turner,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Green, Draymond (GSW)",2018,DPOY
Brett Dawson,The Oklahoman,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Brian Mahoney,Associated Press,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2018,DPOY
Brian Windhorst,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2018,DPOY
Cassidy Hubbarth,ESPN,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Chase Hughes,NBCSportsWashington.com,"Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Embiid, Joel (PHI)",2018,DPOY
Chris Broussard,Fox Sports,"Davis, Anthony (NOP)","Green, Draymond (GSW)","Gobert, Rudy (UTA)",2018,DPOY
Chris Haynes,ESPN.com,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Brown, Jaylen (BOS)",2018,DPOY
Chris Mannix,Yahoo!,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2018,DPOY
Chris Webber,Turner,"Gobert, Rudy (UTA)","George, Paul (OKC)","Davis, Anthony (NOP)",2018,DPOY
Clifton Brown,Indianapolis Star,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Connor Letourneau,San Francisco Chronicle,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2018,DPOY
Dave McMenamin,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
David Aldridge,Turner,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Covington, Robert (PHI)",2018,DPOY
Davide Chinellato,La Gazzetta dello Sport,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Butler, Jimmy (MIN)",2018,DPOY
Dennis Scott,Turner,"George, Paul (OKC)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)",2018,DPOY
Diego Cabrera,Periódico Reforma,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2018,DPOY
Doris Burke,ABC/ESPN,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Eddie Sefko,Dallas Morning News,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Covington, Robert (PHI)",2018,DPOY
Elliott Teaford,Southern California News Group,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2018,DPOY
Ernie Johnson,Turner,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Green, Draymond (GSW)",2018,DPOY
Flavio Tranquillo,Sky Italia,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Thompson, Klay (GSW)",2018,DPOY
Frank Isola,Sirius Radio/New York Daily News,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Horford, Al (BOS)",2018,DPOY
Gary Washburn,Boston Globe,"Gobert, Rudy (UTA)","Adams, Steven (OKC)","Drummond, Andre (DET)",2018,DPOY
Gina Mizell,Denver Post,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Greg Anthony,Turner,"Davis, Anthony (NOP)","Embiid, Joel (PHI)","Capela, Clint (HOU)",2018,DPOY
Greg Logan,Newsday,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2018,DPOY
Howard Beck,Bleacher Report,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Jackie MacMullan,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Jalen Rose,ABC/ESPN,"Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Embiid, Joel (PHI)",2018,DPOY
Jared Greenberg,Turner,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Horford, Al (BOS)",2018,DPOY
Jason Jones,Sacramento Bee,"Gobert, Rudy (UTA)","George, Paul (OKC)","Green, Draymond (GSW)",2018,DPOY
Jason Lloyd,The Athletic,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Jason Quick,NBC Sports Northwest,"Gobert, Rudy (UTA)","George, Paul (OKC)","Davis, Anthony (NOP)",2018,DPOY
Jeff McDonald,San Antonio Express‐News,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2018,DPOY
Jeff Zillgitt,USA Today,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2018,DPOY
Jerry Zgoda,Minneapolis Star Tribune,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Joe Cowley,Chicago Sun‐Times,"Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Covington, Robert (PHI)",2018,DPOY
John Schuhmann,NBA.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Jon Barry,ESPN Radio,"Gobert, Rudy (UTA)","George, Paul (OKC)","Embiid, Joel (PHI)",2018,DPOY
Justin Termine,Sirius Radio,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
KC Johnson,Chicago Tribune,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Keith Pompey,Philadelphia Inquirer,"Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Davis, Anthony (NOP)",2018,DPOY
Kevin Arnovitz,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Kevin Harlan,Turner,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)",2018,DPOY
Kevin O'Connor,The Ringer,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Kevin Pelton,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Nurkic, Jusuf (POR)",2018,DPOY
Kristen Ledlow,Turner,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2018,DPOY
Kurt Helin,NBCSports.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Lee Jenkins,Sports Illustrated,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Embiid, Joel (PHI)",2018,DPOY
Lisa Yang,Tencent,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Manny Navarro,Miami Herald,"Davis, Anthony (NOP)","Brown, Jaylen (BOS)","Gobert, Rudy (UTA)",2018,DPOY
Marc Berman,New York Post,"Gobert, Rudy (UTA)","Durant, Kevin (GSW)","George, Paul (OKC)",2018,DPOY
Marc Kestecher,ESPN Radio,"Gobert, Rudy (UTA)","George, Paul (OKC)","Embiid, Joel (PHI)",2018,DPOY
Mark Jackson,ABC/ESPN,"George, Paul (OKC)","Gobert, Rudy (UTA)","Davis, Anthony (NOP)",2018,DPOY
Marv Albert,Turner,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Green, Draymond (GSW)",2018,DPOY
Matt Velazquez,Milwaukee Journal Sentinel,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Matt Winer,Turner,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Embiid, Joel (PHI)",2018,DPOY
