Voter,Affiliation,1st,2nd,3rd,4th,5th,Year,Award
Ailene Voisin,Sacramento Bee,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Amin Elhassan,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Lillard, Damian (POR)",2018,MVP
Andrew Sharp,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2018,MVP
Anthony Slater,The Athletic,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Ben Golliver,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Bill Oram,Orange County Register,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Bill Simmons,The Ringer,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","Oladipo, Victor (IND)",2018,MVP
Brent Barry,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)",2018,MVP
Brett Dawson,The Oklahoman,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Brian Mahoney,Associated Press,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)",2018,MVP
Brian Windhorst,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Cassidy Hubbarth,ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Chase Hughes,NBCSportsWashington.com,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)",2018,MVP
Chris Broussard,Fox Sports,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Lillard, Damian (POR)",2018,MVP
Chris Haynes,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)",2018,MVP
Chris Mannix,Yahoo!,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2018,MVP
Chris Webber,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","DeRozan, DeMar (TOR)","Davis, Anthony (NOP)",2018,MVP
Clifton Brown,Indianapolis Star,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Connor Letourneau,San Francisco Chronicle,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Dave McMenamin,ESPN.com,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
David Aldridge,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Westbrook, Russell (OKC)",2018,MVP
Davide Chinellato,La Gazzetta dello Sport,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Dennis Scott,Turner,"Harden, James (HOU)","James, LeBron (CLE)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)",2018,MVP
Diego Cabrera,Periódico Reforma,"James, LeBron (CLE)","Harden, James (HOU)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)",2018,MVP
Doris Burke,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Eddie Sefko,Dallas Morning News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)",2018,MVP
Elliott Teaford,Southern California News Group,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Ernie Johnson,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Antetokounmpo, Giannis (MIL)",2018,MVP
Flavio Tranquillo,Sky Italia,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Curry, Stephen (GSW)",2018,MVP
Frank Isola,Sirius Radio/New York Daily News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)",2018,MVP
Gary Washburn,Boston Globe,"James, LeBron (CLE)","Harden, James (HOU)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Oladipo, Victor (IND)",2018,MVP
Gina Mizell,Denver Post,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Greg Anthony,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2018,MVP
Greg Logan,Newsday,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)",2018,MVP
Howard Beck,Bleacher Report,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)",2018,MVP
Jackie MacMullan,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)",2018,MVP
Jalen Rose,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Lillard, Damian (POR)",2018,MVP
Jared Greenberg,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)",2018,MVP
Jason Jones,Sacramento Bee,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Jason Lloyd,The Athletic,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)",2018,MVP
