Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Marv Albert,Turner,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Davis, Anthony (LAL)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Paul, Chris (OKC)","Bledsoe, Eric (MIL)",2019
Sam Amick,The Athletic,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Tucker, P.J. (HOU)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Holiday, Jrue (NOP)",2019
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Leonard, Kawhi (LAC)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Smart, Marcus (BOS)",2019
Greg Anthony,Turner,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Bledsoe, Eric (MIL)",2019
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Lowry, Kyle (TOR)","Smart, Marcus (BOS)","Davis, Anthony (LAL)","Anunoby, OG (TOR)","Lopez, Brook (MIL)","Simmons, Ben (PHI)","Bledsoe, Eric (MIL)",2019
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Tucker, P.J. (HOU)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Bledsoe, Eric (MIL)","Lowry, Kyle (TOR)",2019
Antoine Bancharel,Canal+ Afrique,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Davis, Anthony (LAL)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Dunn, Kris (CHI)",2019
Renjun Bao,Tencent,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Bledsoe, Eric (MIL)",2019
Evan Barnes,Memphis Commercial Appeal,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2019
Jon Barry,ESPN,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Davis, Anthony (LAL)","Simmons, Ben (PHI)","Beverley, Patrick (LAC)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)",2019
Rod Beard,Detroit News,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Siakam, Pascal (TOR)","Adebayo, Bam (MIA)","Davis, Anthony (LAL)","Beverley, Patrick (LAC)","Bledsoe, Eric (MIL)",2019
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Tucker, P.J. (HOU)","Adebayo, Bam (MIA)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2019
Marc Berman,New York Post,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)",2019
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Anunoby, OG (TOR)","Lopez, Brook (MIL)","Holiday, Jrue (NOP)","Lowry, Kyle (TOR)",2019
