Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Marv Albert,Turner,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Williamson, Zion (NOP)","Paschall, Eric (GSW)","Hachimura, Rui (WAS)","Herro, Tyler (MIA)","White, Coby (CHI)","Barrett, R.J. (NYK)","Garland, Darius (CLE)",2019
Sam Amick,The Athletic,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Davis, Terence (TOR)","White, Coby (CHI)","Washington, P.J. (CHA)","Thybulle, Matisse (PHI)",2019
Jason Anderson,Sacramento Bee,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Paschall, Eric (GSW)","Washington, P.J. (CHA)","Herro, Tyler (MIA)","Thybulle, Matisse (PHI)","White, Coby (CHI)",2019
Greg Anthony,Turner,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Paschall, Eric (GSW)","Herro, Tyler (MIA)","White, Coby (CHI)","Hunter, De'Andre (ATL)","Barrett, R.J. (NYK)","Hachimura, Rui (WAS)",2019
Kevin Arnovitz,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Hayes, Jaxson (NOP)","Johnson, Cameron (PHX)","Thybulle, Matisse (PHI)","Paschall, Eric (GSW)","Washington, P.J. (CHA)",2019
Steve Aschburner,NBA.com,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","Barrett, R.J. (NYK)","Paschall, Eric (GSW)","White, Coby (CHI)","Herro, Tyler (MIA)","Washington, P.J. (CHA)","Thybulle, Matisse (PHI)",2019
Antoine Bancharel,Canal+ Afrique,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Herro, Tyler (MIA)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)","Davis, Terence (TOR)","Paschall, Eric (GSW)","White, Coby (CHI)",2019
Renjun Bao,Tencent,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","White, Coby (CHI)","Barrett, R.J. (NYK)","Hachimura, Rui (WAS)","Davis, Terence (TOR)","Herro, Tyler (MIA)","Washington, P.J. (CHA)",2019
Evan Barnes,Memphis Commercial Appeal,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Hachimura, Rui (WAS)","Thybulle, Matisse (PHI)","Barrett, R.J. (NYK)","White, Coby (CHI)",2019
Jon Barry,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Paschall, Eric (GSW)","Nunn, Kendrick (MIA)","Herro, Tyler (MIA)","Washington, P.J. (CHA)","Barrett, R.J. (NYK)","Porter, Michael Jr. (DEN)","White, Coby (CHI)",2019
