Voter,Affiliation,1st,2nd,3rd,Year,Award
0 ,Voter Name,Affiliation,1st Place (5 points),2nd Place (3 points),3rd Place (1 point),2022
1 ,"Aldridge, David",The Athletic,"Morant, Ja (MEM)","Murray, Dejounte (SAS)","Garland, Darius (CLE)",2022
2 ,"Amick, Sam",The Athletic,"Morant, Ja (MEM)","Poole, Jordan (GSW)","Garland, Darius (CLE)",2022
3 ,"Anderson, Jason",Sacramento Bee,"Morant, Ja (MEM)","Murray, Dejounte (SAS)","Bane, Desmond (MEM)",2022
4 ,"Anthony, Greg",Turner,"Garland, Darius (CLE)","Poole, Jordan (GSW)","Murray, Dejounte (SAS)",2022
5 ,"Arnovitz, Kevin",ESPN,"Maxey, Tyrese (PHI)",,"Murray, Dejounte (SAS) Williams III, Robert (BOS)",2022
6 ,"Aschburner, Steve",NBA.com,"Murray, Dejounte (SAS)","Garland, Darius (CLE)","Morant, Ja (MEM)",2022
7 ,"Bancharel, Antoine",L'Equipe / Canal+,"Poole, Jordan (GSW)","Maxey, Tyrese (PHI)","Bane, Desmond (MEM)",2022
8 ,"Bao, Renjun",Tencent,"Morant, Ja (MEM)","Garland, Darius (CLE)","Murray, Dejounte (SAS)",2022
9 ,"Beck, Howard",Sports Illustrated,"Poole, Jordan (GSW)","Murray, Dejounte (SAS)","Bane, Desmond (MEM)",2022
10 ,"Bontemps, Tim",ESPN,"Morant, Ja (MEM)","Murray, Dejounte (SAS)","Garland, Darius (CLE)",2022
11 ,"Boone, Rod",Charlotte Observer,"Morant, Ja (MEM)","Garland, Darius (CLE)","Bridges, Miles (CHA)",2022
12 ,"Broussard, Chris",Fox Sports,"Maxey, Tyrese (PHI)","Bane, Desmond (MEM)","Poole, Jordan (GSW)",2022
13 ,"Bucher, Ric",FS1,"Poole, Jordan (GSW)","Bane, Desmond (MEM)","Murray, Dejounte (SAS)",2022
14 ,"Burke, Doris",ESPN,"Bane, Desmond (MEM)","Murray, Dejounte (SAS)","Poole, Jordan (GSW)",2022
15 ,"Caplan, Callie",Dallas Morning News,"Morant, Ja (MEM)","Maxey, Tyrese (PHI)","Brunson, Jalen (DAL)",2022
16 ,"Charania, Shams",The Athletic/Stadium,"Bridges, Miles (CHA)","Simons, Anfernee (POR)","Murray, Dejounte (SAS)",2022
17 ,"Chiang, Anthony",Miami Herald,"Morant, Ja (MEM)","Garland, Darius (CLE)","Murray, Dejounte (SAS)",2022
18 ,"Chinellato, Davide",La Gazzetta dello Sport,"Morant, Ja (MEM)","Murray, Dejounte (SAS)","Poole, Jordan (GSW)",2022
19 ,"Daimiel, Antoni",Movistar+,"Maxey, Tyrese (PHI)","Morant, Ja (MEM)","Bane, Desmond (MEM)",2022
20 ,"Devine, Dan",The Ringer,"Morant, Ja (MEM)","Garland, Darius (CLE)","Murray, Dejounte (SAS)",2022
21 ,"Edwards III, James",The Athletic,"Murray, Dejounte (SAS)","Jackson Jr., Jaren (MEM)","Garland, Darius (CLE)",2022
22 ,"Fedor, Chris",Clevleand.com,"Morant, Ja (MEM)","Garland, Darius (CLE)","Murray, Dejounte (SAS)",2022
23 ,"Goodwill, Vince",Yahoo! Sports,"Maxey, Tyrese (PHI)","Poole, Jordan (GSW)","Garland, Darius (CLE)",2022
24 ,"Grange, Michael",Rogers Sportsnet,"Murray, Dejounte (SAS)","Garland, Darius (CLE)","Morant, Ja (MEM)",2022
25 ,"Greenberg, Jared",Turner,"Garland, Darius (CLE)","Murray, Dejounte (SAS)","Poole, Jordan (GSW)",2022
26 ,"Greenberg, Mike",ESPN,"Garland, Darius (CLE)","Bane, Desmond (MEM)","Murray, Dejounte (SAS)",2022
27 ,"Harlan, Kevin",Turner,"Murray, Dejounte (SAS)","Poole, Jordan (GSW)","Williams III, Robert (BOS)",2022
28 ,"Harper, Zach",The Athletic,"Morant, Ja (MEM)","Garland, Darius (CLE)","Murray, Dejounte (SAS)",2022
29 ,"Helin, Kurt",NBCSports.com,"Morant, Ja (MEM)","Bane, Desmond (MEM)","Garland, Darius (CLE)",2022
30 ,"Herring, Chris",Sports Illustrated,"Murray, Dejounte (SAS)","Poole, Jordan (GSW)","Bridges, Miles (CHA)",2022
31 ,"Hill, Drew",Daily Memphian,"Murray, Dejounte (SAS)","Garland, Darius (CLE)","Poole, Jordan (GSW)",2022
32 ,"Himmelsbach, Adam Boston Globe",,"Morant, Ja (MEM)","Garland, Darius (CLE)","Maxey, Tyrese (PHI)",2022
33 ,"Hsu, Lisa",Tencent,"Morant, Ja (MEM)","Garland, Darius (CLE)","Poole, Jordan (GSW)",2022
