Voter,Affiliation,1st,2nd,3rd,Year,Award
Marv Albert,Turner,"Clarkson, Jordan (UTA)","Boucher, Chris (TOR)","Brunson, Jalen (DAL)",2021,6th
Sam Amick,The Athletic,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2021,6th
Greg Anthony,Turner,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Portis, Bobby (MIL)",2021,6th
Kevin Arnovitz,ESPN,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Harrell, Montrezl (LAL)",2021,6th
Steve Aschburner,NBA.com,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Rose, Derrick (NYK)",2021,6th
Evan Barnes,Memphis Commercial Appeal,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)",2021,6th
Jon Barry,ESPN,"Clarkson, Jordan (UTA)","Harrell, Montrezl (LAL)","Boucher, Chris (TOR)",2021,6th
Howard Beck,Sports Illustrated,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)",2021,6th
Stefan Bondy,New York Daily News,"Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)","Boucher, Chris (TOR)",2021,6th
Tim Bontemps,ESPN,"Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)","Rose, Derrick (NYK)",2021,6th
Chris Broussard,Fox Sports,"Clarkson, Jordan (UTA)","Hardaway Jr., Tim (DAL)","Ingles, Joe (UTA)",2021,6th
Ric Bucher,Sirius Radio,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Brunson, Jalen (DAL)",2021,6th
Doris Burke,ESPN,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2021,6th
Shams Charania,The Athletic/Stadium,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Brunson, Jalen (DAL)",2021,6th
Anthony Chiang,Miami Herald,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Rose, Derrick (NYK)",2021,6th
Davide Chinellato,La Gazzetta Dello Sport,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Anthony, Carmelo (POR)",2021,6th
Mauricio Codocea,Clarin (Argentina),"Clarkson, Jordan (UTA)","Harrell, Montrezl (LAL)","Rose, Derrick (NYK)",2021,6th
Jamal Collier,Chicago Tribune,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2021,6th
Antoni Daimiel,Movistar+,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2021,6th
Dan Devine,The Ringer,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2021,6th
Chris Fedor,Cleveland.com,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)",2021,6th
Joe Freeman,The Oregonian,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Rose, Derrick (NYK)",2021,6th
Vince Goodwill,Yahoo! Sports,"Clarkson, Jordan (UTA)","Hardaway Jr., Tim (DAL)","Rose, Derrick (NYK)",2021,6th
Kyle Goon,Southern California News Group,"Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)","Rose, Derrick (NYK)",2021,6th
Michael Grange,Rogers Sportsnet,"Ingles, Joe (UTA)","Brunson, Jalen (DAL)","Kanter, Enes (POR)",2021,6th
Jared Greenberg,Turner,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Anthony, Carmelo (POR)",2021,6th
Kevin Harlan,Turner,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2021,6th
Zach Harper,The Athletic,"Ingles, Joe (UTA)","Brunson, Jalen (DAL)","Clarkson, Jordan (UTA)",2021,6th
Max Haupt,DPA,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Brunson, Jalen (DAL)",2021,6th
Chris Haynes,Yahoo! Sports,"Clarkson, Jordan (UTA)","Kanter, Enes (POR)","Boucher, Chris (TOR)",2021,6th
Kurt Helin,NBCSports.com,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Brunson, Jalen (DAL)",2021,6th
Adam Himmelsbach,Boston Globe,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2021,6th
