Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year,Award
Marv Albert,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Randle, Julius (NYK)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Westbrook, Russell (WAS)",2021,All-NBA
Sam Amick,The Athletic,"Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Curry, Stephen (GSW)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2021,All-NBA
Greg Anthony,Turner,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Westbrook, Russell (WAS)","James, LeBron (LAL)","George, Paul (LAC)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Booker, Devin (PHX)",2021,All-NBA
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Butler, Jimmy (MIA)","Williamson, Zion (NOP)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","James, LeBron (LAL)","Beal, Bradley (WAS)",2021,All-NBA
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Williamson, Zion (NOP)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Mitchell, Donovan (UTA)",2021,All-NBA
Evan Barnes,Memphis Commercial Appeal,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Beal, Bradley (WAS)","Booker, Devin (PHX)","George, Paul (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Westbrook, Russell (WAS)",2021,All-NBA
Jon Barry,ESPN,"Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Durant, Kevin (BKN)","George, Paul (LAC)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Harden, James (BKN)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Paul, Chris (PHX)",2021,All-NBA
Howard Beck,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","George, Paul (LAC)",2021,All-NBA
Stefan Bondy,New York Daily News,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Randle, Julius (NYK)","George, Paul (LAC)","Adebayo, Bam (MIA)","Tatum, Jayson (BOS)","Harden, James (BKN)",2021,All-NBA
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Butler, Jimmy (MIA)","James, LeBron (LAL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Doncic, Luka (DAL)","George, Paul (LAC)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2021,All-NBA
