Voter,Affiliation,1st,2nd,3rd,Year,Award
Marv Albert,Turner,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Sam Amick,The Athletic,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Greg Anthony,Turner,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Adebayo, Bam (MIA)",2021,DPOY
Kevin Arnovitz,ESPN,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Capela, Clint (ATL)",2021,DPOY
Steve Aschburner,NBA.com,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Evan Barnes,Memphis Commercial Appeal,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Green, Draymond (GSW)",2021,DPOY
Jon Barry,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Turner, Myles (IND)",2021,DPOY
Howard Beck,Sports Illustrated,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Stefan Bondy,New York Daily News,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)",2021,DPOY
Tim Bontemps,ESPN,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Green, Draymond (GSW)",2021,DPOY
Chris Broussard,Fox Sports,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Ric Bucher,Sirius Radio,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Doris Burke,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Shams Charania,The Athletic/Stadium,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Anthony Chiang,Miami Herald,"Gobert, Rudy (UTA)","Adebayo, Bam (MIA)","Simmons, Ben (PHI)",2021,DPOY
Davide Chinellato,La Gazzetta Dello Sport,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Adebayo, Bam (MIA)",2021,DPOY
Mauricio Codocea,Clarin (Argentina),"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Jamal Collier,Chicago Tribune,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Antoni Daimiel,Movistar+,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Caldwell-Pope, Kentavious (LAL)",2021,DPOY
