Voter,Affiliation,1st,2nd,3rd,Year,Award
Marv Albert,Turner,"Randle, Julius (NYK)","LaVine, Zach (CHI)","Grant, Jerami (DET)",2021,MIP
Sam Amick,The Athletic,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Wood, Christian (HOU)",2021,MIP
Greg Anthony,Turner,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2021,MIP
Kevin Arnovitz,ESPN,"Randle, Julius (NYK)","Boucher, Chris (TOR)","Grant, Jerami (DET)",2021,MIP
Steve Aschburner,NBA.com,"Randle, Julius (NYK)","Wood, Christian (HOU)","Brown, Jaylen (BOS)",2021,MIP
Evan Barnes,Memphis Commercial Appeal,"Grant, Jerami (DET)","Randle, Julius (NYK)","Anderson, Kyle (MEM)",2021,MIP
Jon Barry,ESPN,"Randle, Julius (NYK)","Capela, Clint (ATL)","Wood, Christian (HOU)",2021,MIP
Howard Beck,Sports Illustrated,"Randle, Julius (NYK)","Grant, Jerami (DET)","Wood, Christian (HOU)",2021,MIP
Stefan Bondy,New York Daily News,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2021,MIP
Tim Bontemps,ESPN,"Randle, Julius (NYK)","LaVine, Zach (CHI)","Gilgeous-Alexander, Shai (OKC)",2021,MIP
Chris Broussard,Fox Sports,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Barrett, RJ (NYK)",2021,MIP
Ric Bucher,Sirius Radio,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2021,MIP
Doris Burke,ESPN,"Randle, Julius (NYK)","Wood, Christian (HOU)","Grant, Jerami (DET)",2021,MIP
Shams Charania,The Athletic/Stadium,"Randle, Julius (NYK)","Grant, Jerami (DET)","Bridges, Miles (CHA)",2021,MIP
Anthony Chiang,Miami Herald,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2021,MIP
Davide Chinellato,La Gazzetta Dello Sport,"Randle, Julius (NYK)","Brown, Jaylen (BOS)","Porter Jr., Michael (DEN)",2021,MIP
Mauricio Codocea,Clarin (Argentina),"Randle, Julius (NYK)","Wood, Christian (HOU)","Grant, Jerami (DET)",2021,MIP
Jamal Collier,Chicago Tribune,"Randle, Julius (NYK)","Grant, Jerami (DET)","LaVine, Zach (CHI)",2021,MIP
