Voter,Affiliation,1st,2nd,3rd,4th,5th,Year,Award
Marv Albert,Turner,"Jokic, Nikola (DEN)","Paul, Chris (PHX)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)",2021,MVP
Sam Amick,The Athletic,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)",2021,MVP
Greg Anthony,Turner,"Paul, Chris (PHX)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)",2021,MVP
Kevin Arnovitz,ESPN,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2021,MVP
Steve Aschburner,NBA.com,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)","Curry, Stephen (GSW)",2021,MVP
Evan Barnes,Memphis Commercial Appeal,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)",2021,MVP
Jon Barry,ESPN,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Howard Beck,Sports Illustrated,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Stefan Bondy,New York Daily News,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Paul, Chris (PHX)",2021,MVP
Tim Bontemps,ESPN,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)",2021,MVP
Chris Broussard,Fox Sports,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)","Embiid, Joel (PHI)","Curry, Stephen (GSW)",2021,MVP
Ric Bucher,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Doncic, Luka (DAL)",2021,MVP
Doris Burke,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Gobert, Rudy (UTA)",2021,MVP
Shams Charania,The Athletic/Stadium,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2021,MVP
Anthony Chiang,Miami Herald,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Doncic, Luka (DAL)",2021,MVP
